Student_ID,GRE Score,TOEFL Score,University Rating,SOP,LOR,CGPA,Research,Chance of Admit
STU1094,302,111,1,4.0,2.9,8.49,0,0.715
STU1095,310,108,4,1.9,2.4,9.74,0,0.749
STU1096,305,99,5,4.8,3.6,8.75,1,0.898
STU1097,304,100,3,4.0,2.7,9.17,0,0.775
STU1098,305,96,2,4.5,3.1,7.28,1,0.793
STU1099,307,114,2,1.4,1.4,9.47,0,0.725
STU1100,307,101,5,4.8,3.1,7.37,1,0.855
STU1101,326,110,1,1.4,4.2,7.86,0,0.72
STU1102,309,95,2,4.8,2.5,7.76,1,0.77
STU1103,300,102,3,2.3,2.1,8.2,0,0.717
STU1104,324,104,2,4.1,1.1,8.78,1,0.77
STU1105,301,103,5,2.4,3.5,9.81,0,0.86
STU1106,303,115,3,1.8,1.4,9.12,1,0.795
STU1107,328,114,3,3.0,1.2,7.86,0,0.721
STU1108,297,93,2,3.8,3.7,8.97,0,0.737
STU1109,330,96,5,1.0,1.3,8.62,1,0.791
STU1110,313,114,5,1.1,1.4,7.53,0,0.782
STU1111,315,106,3,1.9,3.3,7.87,0,0.742
STU1112,308,107,5,4.8,2.6,8.44,1,0.879
STU1113,336,102,2,4.7,3.4,8.78,0,0.775
STU1114,309,110,2,4.4,2.6,7.56,0,0.715
STU1115,331,109,5,4.4,3.8,7.7,1,0.904
STU1116,321,96,4,4.1,3.0,8.01,0,0.801
STU1117,312,108,2,1.2,2.5,9.22,1,0.755
STU1118,324,111,3,1.8,1.3,8.97,0,0.725
STU1119,310,99,1,3.0,3.3,8.7,1,0.765
STU1120,320,103,3,3.0,1.2,8.58,0,0.779
STU1121,312,100,1,1.0,2.5,7.74,1,0.743
STU1122,306,109,1,2.8,1.5,8.19,1,0.699
STU1123,330,108,4,2.2,4.8,8.26,0,0.852
STU1124,311,120,2,2.7,1.7,8.87,1,0.824
STU1125,307,99,1,1.8,2.9,8.76,0,0.715
STU1126,312,100,1,2.3,2.0,8.79,1,0.795
STU1127,314,107,4,1.6,4.6,8.51,1,0.823
STU1128,304,103,3,1.3,3.8,7.78,1,0.734
STU1129,310,112,2,2.0,3.8,8.01,1,0.793
STU1130,315,110,5,2.9,3.5,9.53,1,0.861
STU1131,320,113,1,4.8,2.0,7.75,1,0.76
STU1132,302,105,3,2.0,2.5,8.17,0,0.746
STU1133,324,102,2,1.3,4.3,8.62,0,0.749
STU1134,308,90,5,1.2,2.3,7.82,0,0.716
STU1135,332,102,1,1.8,4.2,9.69,1,0.828
STU1136,335,104,5,4.7,3.1,8.27,1,0.868
STU1137,318,113,3,2.4,3.4,8.4,1,0.858
STU1138,321,100,2,2.8,2.5,8.9,1,0.798
STU1139,306,120,2,4.4,1.5,8.18,1,0.833
STU1140,304,114,4,2.5,3.3,7.87,1,0.84
STU1141,308,102,5,3.0,4.3,8.03,0,0.824
STU1142,318,99,3,4.0,1.8,7.02,1,0.752
STU1143,295,112,3,3.0,3.5,8.59,0,0.761
STU1144,300,98,5,1.9,3.3,7.85,1,0.769
STU1145,327,112,2,1.1,4.8,8.04,1,0.848
STU1146,318,95,5,1.7,1.5,7.72,0,0.734
STU1147,308,105,1,4.7,3.8,8.91,0,0.765
STU1148,317,115,4,1.9,3.2,8.08,1,0.813
STU1149,307,100,1,1.6,4.0,8.79,0,0.685
STU1150,321,108,1,1.9,4.2,8.5,1,0.802
STU1151,306,110,5,4.9,1.3,8.64,0,0.813
STU1152,313,102,1,2.6,2.2,8.75,1,0.727
STU1153,302,102,2,2.8,1.4,7.85,0,0.721
STU1154,306,108,1,1.7,4.6,9.17,1,0.813
STU1155,320,105,4,2.6,2.8,7.41,0,0.741
STU1156,315,97,2,1.2,4.7,9.07,1,0.851
STU1157,309,115,3,2.3,3.1,9.36,0,0.741
STU1158,335,110,5,3.8,1.6,9.18,1,0.897
STU1159,314,90,2,1.7,4.4,7.35,0,0.706
STU1160,310,102,2,4.0,3.8,9.01,0,0.746
STU1161,299,104,2,1.0,2.2,8.16,1,0.703
STU1162,305,111,3,3.6,4.1,7.39,1,0.847
STU1163,313,106,5,4.2,4.4,7.14,1,0.83
STU1164,327,96,3,4.0,2.9,7.77,1,0.856
STU1165,324,101,3,1.6,2.7,9.43,0,0.782
STU1166,324,108,3,2.6,4.9,8.86,1,0.843
STU1167,299,109,3,3.6,2.5,8.83,1,0.779
STU1168,316,105,4,3.2,1.9,8.12,0,0.793
STU1169,324,105,4,1.2,2.9,9.27,0,0.741
STU1170,327,104,3,3.7,4.7,9.87,1,0.852
STU1171,307,105,2,3.9,3.2,8.06,1,0.773
STU1172,303,114,3,2.2,1.8,7.33,1,0.746
STU1173,323,100,5,3.7,4.2,8.02,1,0.851
STU1174,323,114,5,1.1,2.7,8.45,1,0.9
STU1175,309,101,1,4.3,1.2,8.84,0,0.635
STU1176,324,102,4,2.3,2.1,9.17,1,0.839
STU1177,327,103,2,1.1,4.8,9.05,0,0.778
STU1178,304,108,4,3.7,1.6,9.17,0,0.83
STU1179,322,100,2,3.2,2.3,7.26,1,0.743
STU1180,311,102,5,3.0,1.3,8.34,1,0.797
STU1181,327,107,1,4.8,1.3,8.05,0,0.789
STU1182,311,111,2,2.7,3.4,8.63,1,0.772
STU1183,315,90,3,2.4,3.2,9.06,1,0.822
STU1184,300,94,4,3.3,2.5,8.26,0,0.738
STU1185,308,106,4,3.9,1.9,10.0,0,0.845
STU1186,309,103,1,3.3,2.3,8.33,0,0.756
STU1187,330,100,5,3.8,3.2,9.05,1,0.933
STU1188,320,106,2,3.3,1.1,7.76,1,0.72
STU1189,322,102,3,4.8,2.4,8.36,1,0.838
STU1190,325,90,1,3.1,2.8,10.0,1,0.879
STU1191,313,106,2,3.4,3.1,8.0,1,0.77
STU1192,320,111,3,1.1,2.8,7.02,0,0.749
STU1193,312,113,4,3.7,3.8,7.99,1,0.856
STU1194,297,99,1,2.2,4.9,8.96,1,0.796
STU1195,323,111,1,2.1,2.6,8.93,1,0.809
STU1196,319,107,1,3.9,2.7,8.61,0,0.818
STU1197,310,99,5,4.9,3.9,8.67,0,0.822
STU1198,318,101,5,4.9,4.4,8.6,1,0.905
STU1199,321,108,5,4.4,4.0,7.63,0,0.819
STU1200,311,105,4,3.7,3.2,8.91,0,0.813
STU1201,319,117,2,1.6,3.3,7.92,0,0.732
STU1202,306,90,3,4.5,3.6,8.87,0,0.794
STU1203,317,113,1,4.5,1.3,7.26,1,0.735
STU1204,307,98,3,1.4,4.7,8.14,0,0.766
STU1205,330,106,3,4.0,2.6,7.73,0,0.826
STU1206,318,111,1,1.2,1.4,10.0,1,0.773
STU1207,313,112,4,4.2,4.5,9.46,1,0.882
STU1208,307,120,1,1.5,2.8,7.81,1,0.735
STU1209,325,99,1,1.1,1.1,9.45,1,0.693
STU1210,323,116,2,4.0,2.3,9.07,0,0.791
STU1211,309,116,5,4.7,1.8,10.0,0,0.924
STU1212,308,103,5,4.5,1.7,8.43,1,0.84
STU1213,313,107,3,1.6,2.6,8.17,1,0.835
STU1214,328,100,4,3.8,3.1,8.32,0,0.795
STU1215,298,110,5,1.9,4.4,8.08,0,0.762
STU1216,305,103,4,3.4,2.7,8.79,0,0.781
STU1217,321,97,5,4.9,1.9,6.74,1,0.895
STU1218,309,109,5,1.3,2.2,7.49,1,0.826
STU1219,325,105,3,4.1,2.4,7.76,0,0.806
STU1220,317,118,3,4.2,2.0,8.52,0,0.8
STU1221,291,94,5,4.9,1.6,8.75,1,0.895
STU1222,340,112,1,2.6,3.2,9.0,0,0.733
STU1223,318,108,3,4.3,1.4,9.1,1,0.852
STU1224,326,105,5,3.8,3.1,8.04,0,0.829
STU1225,312,102,1,1.3,2.8,8.25,0,0.698
STU1226,325,104,5,2.4,1.4,9.16,0,0.83
STU1227,294,103,2,3.6,1.8,8.11,0,0.73
STU1228,312,102,4,3.2,4.9,8.54,1,0.853
STU1229,311,103,5,1.7,1.8,8.45,0,0.762
STU1230,334,97,4,4.8,3.1,7.84,1,0.834
STU1231,303,97,4,3.5,2.2,8.01,1,0.786
STU1232,318,92,3,4.5,1.8,10.0,1,0.85
STU1233,315,108,4,2.1,2.1,8.46,0,0.817
STU1234,321,102,2,3.3,5.0,8.47,1,0.871
STU1235,315,113,5,1.1,3.7,8.47,0,0.784
STU1236,301,110,3,3.9,2.3,8.92,1,0.778
STU1237,320,107,5,3.6,3.5,9.41,1,0.954
STU1238,304,106,2,4.2,3.7,8.87,0,0.821
STU1239,313,108,2,4.8,4.3,7.99,0,0.844
STU1240,323,112,5,2.3,4.4,7.59,1,0.871
STU1241,324,104,2,3.6,2.6,8.9,1,0.879
STU1242,311,114,5,2.7,3.9,8.89,1,0.908
STU1243,329,98,5,1.1,2.2,7.94,0,0.747
STU1244,301,92,2,3.6,1.8,8.85,1,0.772
STU1245,329,105,2,1.3,4.2,8.67,0,0.764
STU1246,306,101,4,4.7,1.2,7.99,0,0.794
STU1247,317,110,2,1.4,1.8,9.32,0,0.699
STU1248,322,109,5,1.3,2.9,7.68,1,0.777
STU1249,302,109,2,2.7,3.7,7.75,1,0.784
STU1250,314,105,5,1.9,3.2,8.8,0,0.792
STU1251,316,108,1,4.9,1.5,8.16,1,0.751
STU1252,310,109,1,1.8,3.1,9.26,1,0.74
STU1253,326,117,5,2.8,3.6,8.42,1,0.862
STU1254,306,112,4,4.2,4.9,8.87,1,0.939
STU1255,301,105,5,3.3,2.8,7.8,0,0.745
STU1256,328,106,5,2.7,3.6,8.93,0,0.845
STU1257,313,112,5,3.0,4.1,7.91,0,0.834
STU1258,317,90,3,1.6,2.4,8.4,1,0.813
STU1259,332,109,5,1.4,4.4,8.38,1,0.901
STU1260,333,94,2,1.5,1.6,8.24,1,0.77
STU1261,322,100,2,2.5,2.5,7.14,1,0.789
STU1262,327,116,1,4.3,3.3,7.7,1,0.842
STU1263,306,105,3,4.1,2.1,8.74,1,0.883
STU1264,315,96,1,2.2,2.1,8.95,1,0.76
STU1265,316,118,5,2.2,2.4,9.17,1,0.877
STU1266,325,107,1,4.1,1.5,8.65,0,0.733
STU1267,312,113,1,2.1,2.1,8.57,1,0.776
STU1268,325,100,1,4.0,3.9,7.83,0,0.692
STU1269,317,102,5,2.8,4.2,9.61,1,0.879
STU1270,323,94,2,1.2,3.7,8.63,0,0.709
STU1271,313,105,3,1.5,2.5,8.72,1,0.771
STU1272,316,111,3,2.4,4.1,7.86,1,0.788
STU1273,305,101,4,3.7,2.5,8.09,0,0.722
STU1274,314,104,5,3.7,3.4,8.67,0,0.805
STU1275,316,101,4,1.1,2.3,7.81,1,0.784
STU1276,319,100,4,1.9,2.5,8.42,1,0.852
STU1277,319,101,1,4.5,2.1,7.94,0,0.744
STU1278,306,100,3,4.4,1.8,9.02,0,0.816
STU1279,301,102,4,2.3,4.1,8.43,0,0.755
STU1280,336,98,3,1.2,3.0,8.33,0,0.723
STU1281,303,103,2,1.5,3.8,9.02,1,0.817
STU1282,303,106,1,3.2,4.7,9.36,1,0.869
STU1283,303,110,3,4.7,3.7,8.91,1,0.874
STU1284,324,114,4,3.5,3.1,8.36,0,0.864
STU1285,319,96,2,3.8,4.6,8.38,0,0.701
STU1286,310,94,5,3.1,2.7,9.58,0,0.785
STU1287,322,109,4,2.3,3.1,8.59,1,0.863
STU1288,316,106,4,2.6,1.9,9.22,1,0.809
STU1289,302,97,4,4.1,3.8,8.0,1,0.845
STU1290,312,103,2,1.9,1.5,7.71,0,0.69
STU1291,320,104,4,4.0,4.2,8.22,1,0.842
STU1292,305,102,2,3.5,4.4,8.72,0,0.77
STU1293,327,104,2,2.3,3.9,8.98,0,0.835
STU1294,310,104,5,2.4,2.2,8.32,1,0.853
STU1295,309,111,1,3.4,4.3,7.91,1,0.789
STU1296,318,101,1,2.7,4.2,8.96,0,0.758
STU1297,329,108,1,1.9,3.6,9.13,0,0.795
STU1298,310,116,2,2.4,2.3,7.47,0,0.75
STU1299,307,113,5,1.3,1.6,7.37,1,0.783
STU1300,320,112,5,4.3,2.8,7.93,1,0.886
STU1301,305,93,3,4.3,1.1,8.46,0,0.712
STU1302,321,98,3,4.9,1.1,7.79,0,0.754
STU1303,320,91,1,4.9,1.3,7.38,0,0.644
STU1304,331,113,5,1.6,3.2,8.2,0,0.818
STU1305,313,105,3,2.9,1.2,8.0,1,0.792
STU1306,305,109,4,2.4,2.1,8.26,1,0.85
STU1307,310,118,3,1.7,1.6,9.22,0,0.769
STU1308,315,104,3,1.7,2.7,8.8,1,0.745
STU1309,318,92,2,4.6,1.0,7.43,1,0.78
STU1310,317,105,5,4.3,1.9,8.89,1,0.859
STU1311,293,108,4,4.4,4.9,8.14,0,0.777
STU1312,291,106,3,3.1,3.7,9.05,0,0.776
STU1313,307,106,1,4.1,4.2,8.47,1,0.832
STU1314,309,105,1,3.4,4.5,9.12,0,0.763
STU1315,311,101,2,4.6,1.6,7.79,1,0.771
STU1316,330,105,1,1.7,1.7,8.93,1,0.755
STU1317,310,99,1,4.3,1.9,8.75,0,0.701
STU1318,294,104,4,4.3,3.0,8.92,1,0.859
STU1319,322,108,2,3.2,3.1,7.85,1,0.786
STU1320,315,108,3,2.9,2.4,7.4,1,0.846
STU1321,329,95,4,4.5,3.0,9.01,1,0.845
STU1322,331,113,3,2.2,1.1,7.75,1,0.751
STU1323,310,102,2,2.2,2.9,7.32,0,0.726
STU1324,298,113,3,4.9,3.2,7.53,0,0.805
STU1325,315,106,3,3.8,1.1,8.89,1,0.818
STU1326,321,118,5,3.8,3.8,7.86,0,0.832
STU1327,319,105,3,1.4,2.9,8.69,0,0.714
STU1328,311,112,3,2.4,3.5,7.05,0,0.725
STU1329,307,100,3,1.1,4.5,8.73,0,0.792
STU1330,300,100,3,2.3,2.7,8.83,0,0.756
STU1331,318,112,1,1.6,3.3,9.2,1,0.749
STU1332,306,95,1,3.3,4.9,8.13,0,0.738
STU1333,300,90,1,3.1,4.3,9.71,0,0.771
STU1334,318,110,2,4.7,1.1,9.21,0,0.813
STU1335,329,105,2,4.3,2.5,8.18,0,0.747
STU1336,301,120,2,3.8,2.0,8.36,1,0.754
STU1337,319,100,3,3.3,2.5,8.61,1,0.821
STU1338,307,109,1,3.4,2.1,8.52,1,0.769
STU1339,309,109,2,3.1,4.7,8.74,0,0.837
STU1340,318,104,1,3.8,1.5,8.1,0,0.756
STU1341,329,98,2,3.6,3.7,7.95,1,0.765
STU1342,323,107,4,1.0,1.7,8.77,1,0.76
STU1343,326,111,5,4.3,3.5,8.6,1,0.889
STU1344,320,105,3,1.3,2.5,9.33,1,0.761
STU1345,311,93,4,3.6,1.5,8.77,0,0.752
STU1346,309,99,1,3.9,3.9,8.09,1,0.814
STU1347,313,104,5,3.9,3.4,9.27,1,0.909
STU1348,332,116,3,2.8,1.5,8.36,0,0.846
STU1349,314,96,3,4.0,2.1,8.82,0,0.774
STU1350,340,105,3,1.8,4.3,8.62,1,0.866
STU1351,318,105,3,1.5,3.4,7.95,0,0.71
STU1352,310,90,3,1.5,4.1,9.01,1,0.82
STU1353,325,116,3,5.0,2.1,8.92,0,0.817
STU1354,312,90,3,2.1,3.0,9.01,0,0.765
STU1355,321,104,5,4.5,2.8,8.9,1,0.89
STU1356,317,120,3,4.5,4.0,8.52,0,0.835
STU1357,315,90,3,4.7,4.3,10.0,1,0.862
STU1358,312,104,5,2.5,3.0,8.27,1,0.821
STU1359,318,91,2,4.5,4.2,7.52,1,0.783
STU1360,299,101,4,3.2,2.7,8.66,0,0.766
STU1361,314,110,2,3.0,1.6,7.2,1,0.726
STU1362,314,109,4,1.5,3.9,8.05,1,0.824
STU1363,317,103,2,2.4,1.1,8.61,0,0.689
STU1364,312,108,5,4.2,1.6,7.39,1,0.827
STU1365,316,101,3,4.6,4.0,7.97,0,0.789
STU1366,334,99,1,2.2,4.6,8.94,0,0.798
STU1367,315,103,1,1.7,1.8,9.48,1,0.772
STU1368,323,91,1,1.1,2.1,8.53,0,0.683
STU1369,309,105,5,2.6,3.9,8.91,1,0.839
STU1370,316,102,4,2.7,4.8,8.77,1,0.781
STU1371,318,102,5,3.1,2.0,8.93,0,0.836
STU1372,312,103,1,3.3,4.5,9.58,0,0.755
STU1373,318,112,2,1.5,2.4,7.37,1,0.738
STU1374,318,100,4,4.0,4.3,8.94,1,0.884
STU1375,315,97,1,3.6,2.3,9.24,1,0.768
STU1376,318,105,2,2.1,3.5,8.64,0,0.741
STU1377,301,104,1,3.5,3.6,8.74,0,0.736
STU1378,328,113,2,3.8,1.0,8.44,0,0.784
STU1379,310,94,3,3.1,1.3,8.57,1,0.836
STU1380,311,116,4,3.7,3.9,6.99,1,0.796
STU1381,316,108,2,1.1,3.1,8.2,0,0.734
STU1382,290,109,1,4.3,2.6,6.8,1,0.763
STU1383,307,106,2,4.5,2.3,9.42,1,0.801
STU1384,315,109,4,1.6,4.0,8.94,1,0.878
STU1385,302,108,1,1.3,3.6,7.87,0,0.687
STU1386,314,95,4,1.9,4.8,6.93,1,0.738
STU1387,317,107,5,2.1,3.0,7.93,1,0.853
STU1388,318,104,1,2.8,4.6,9.58,0,0.729
STU1389,294,103,1,1.4,1.2,7.93,0,0.648
STU1390,307,95,5,2.4,4.5,7.81,1,0.853
STU1391,312,96,4,4.1,4.9,8.95,1,0.87
STU1392,312,111,4,4.3,3.3,9.19,0,0.882
STU1393,313,109,1,1.1,4.4,8.97,1,0.753
STU1394,313,104,3,3.7,1.8,10.0,0,0.781
STU1395,322,95,2,2.4,3.0,8.42,0,0.697
STU1396,315,105,4,4.0,2.4,8.63,0,0.84
STU1397,318,97,4,4.7,4.7,7.7,0,0.822
STU1398,290,108,4,4.6,1.2,8.06,1,0.818
STU1399,332,103,5,2.8,4.2,9.05,0,0.831
STU1400,308,102,1,3.8,1.8,8.7,0,0.693
STU1401,314,108,4,1.8,4.1,8.15,1,0.861
STU1402,319,109,3,4.3,4.6,9.67,0,0.832
STU1403,318,117,5,2.9,3.4,8.19,1,0.853
STU1404,291,105,2,3.4,1.5,7.95,1,0.794
STU1405,307,100,2,4.9,2.7,8.71,1,0.849
STU1406,311,103,4,1.4,2.6,8.23,1,0.815
STU1407,315,108,3,3.3,1.9,8.88,0,0.779
STU1408,308,106,3,1.5,4.9,9.02,0,0.727
STU1409,305,113,2,2.7,4.6,9.04,0,0.764
STU1410,323,108,2,4.6,1.8,8.57,1,0.806
STU1411,305,103,2,2.4,3.9,7.51,1,0.752
STU1412,305,99,5,1.1,3.1,8.74,1,0.87
STU1413,311,106,2,3.6,2.8,9.31,1,0.806
STU1414,320,104,1,2.8,2.9,8.66,0,0.696
STU1415,323,102,3,2.9,3.4,9.06,1,0.865
STU1416,309,103,4,1.9,2.1,9.36,0,0.826
STU1417,314,104,1,2.2,2.8,7.83,0,0.666
STU1418,303,110,2,2.7,3.7,9.04,1,0.82
STU1419,317,108,1,3.1,2.6,7.66,1,0.792
STU1420,311,109,5,3.3,2.6,8.64,0,0.759
STU1421,301,116,2,3.6,1.0,8.27,0,0.734
STU1422,319,103,4,2.5,3.8,8.49,0,0.784
STU1423,317,112,4,2.8,3.2,9.08,0,0.832
STU1424,315,102,3,3.3,3.0,8.24,0,0.735
STU1425,317,100,2,1.1,2.4,8.4,0,0.685
STU1426,307,105,4,2.6,5.0,7.22,1,0.832
STU1427,326,101,1,2.1,1.4,9.41,0,0.736
STU1428,312,102,4,2.2,2.9,7.15,1,0.766
STU1429,337,109,1,3.3,2.0,9.96,0,0.763
STU1430,304,95,3,3.2,3.2,8.57,1,0.794
STU1431,312,98,2,1.2,1.4,8.49,0,0.62
STU1432,339,110,2,4.0,3.6,8.43,0,0.81
STU1433,308,120,4,4.3,1.5,8.92,1,0.858
STU1434,307,107,3,1.2,4.5,9.33,1,0.867
STU1435,306,109,4,3.4,2.3,8.17,0,0.772
STU1436,322,101,1,4.9,2.3,9.06,1,0.845
STU1437,304,95,5,1.4,3.2,6.82,0,0.698
STU1438,305,109,1,2.5,2.3,9.09,0,0.717
STU1439,308,97,2,3.6,4.1,7.54,1,0.719
STU1440,339,115,3,3.8,3.9,8.44,1,0.863
STU1441,305,105,1,4.6,4.2,9.74,0,0.775
STU1442,315,105,4,3.5,4.9,8.07,1,0.849
STU1443,330,117,3,1.3,1.6,8.72,0,0.75
STU1444,315,102,1,1.8,2.9,8.34,0,0.657
STU1445,301,106,2,1.4,1.1,8.47,0,0.63
STU1446,304,118,2,1.7,1.0,8.11,1,0.786
STU1447,316,106,5,3.0,4.4,7.99,0,0.862
STU1448,313,100,4,1.2,2.1,8.5,0,0.757
STU1449,308,98,1,3.5,3.2,8.96,0,0.714
STU1450,314,108,1,4.2,2.8,7.04,1,0.789
STU1451,317,108,2,3.8,5.0,7.64,1,0.86
STU1452,293,111,5,2.3,1.4,8.31,1,0.794
STU1453,322,117,5,1.5,2.6,9.26,0,0.809
STU1454,326,98,2,4.2,3.6,8.23,1,0.853
STU1455,300,97,3,1.5,3.2,8.88,1,0.804
STU1456,301,96,5,4.8,1.3,7.33,0,0.794
STU1457,324,106,4,3.0,4.9,8.58,0,0.864
STU1458,325,105,4,1.1,2.8,8.14,0,0.76
STU1459,309,110,2,1.3,1.4,8.74,1,0.742
STU1460,302,108,3,4.0,3.9,9.14,1,0.891
STU1461,316,99,4,4.2,4.7,8.03,0,0.83
STU1462,315,101,3,1.0,1.8,8.03,1,0.773
STU1463,318,103,2,2.4,3.7,9.75,1,0.824
STU1464,309,93,5,1.9,1.9,8.55,1,0.798
STU1465,326,107,4,1.4,1.7,8.1,1,0.773
STU1466,313,95,4,4.3,4.5,9.01,0,0.81
STU1467,307,90,1,2.6,1.2,9.37,1,0.687
STU1468,304,106,3,1.3,2.7,7.46,0,0.704
STU1469,296,95,2,3.8,3.0,8.43,0,0.729
STU1470,293,107,5,3.7,3.2,9.52,1,0.878
STU1471,336,101,2,4.4,1.6,8.03,0,0.807
STU1472,324,112,4,2.5,1.2,8.95,0,0.836
STU1473,321,108,5,3.9,2.2,9.4,0,0.865
STU1474,333,107,1,4.6,2.9,9.48,1,0.906
STU1475,301,96,2,2.9,4.9,9.31,1,0.826
STU1476,310,98,1,5.0,2.2,9.02,1,0.78
STU1477,325,105,3,1.5,4.4,9.85,0,0.785
STU1478,310,104,2,2.3,2.5,8.37,0,0.732
